Summary,Type,Start,End,Duration
Application 1 Overconfidence in Professionals [NBAY6630],To-do,2022-03-23 09:30:00,2022-03-23 09:30:00
Refine your North Star Metric [TECH5910],To-do,2022-03-23 20:00:00,2022-03-23 20:00:00
Maker Day #2 Presentation [TECH5910],To-do,2022-03-24 20:00:00,2022-03-24 20:00:00
Maker Day 2 Presentation (Grade and Feedback Placeholder) [TECH5910],To-do,2022-03-24 20:00:00,2022-03-24 20:00:00
Team Contribution Survey [TECH5910],To-do,2022-03-24 20:00:00,2022-03-24 20:00:00
Mid Semester Grow Feedback Assignment [TECH5910],To-do,2022-03-28 12:00:00,2022-03-28 12:00:00
Team Weekly Update [TECH5910],To-do,2022-03-29 16:00:00,2022-03-29 16:00:00
Application 2 Framing of Decisions [NBAY6630],To-do,2022-03-30 09:30:00,2022-03-30 09:30:00
2022 NBAY 6570 Assignment #1 [NBAY6570],To-do,2022-03-30 13:00:00,2022-03-30 13:00:00
Assignment 4: Product Requirements Document [TECH5200],To-do,2022-03-29 20:00:00,2022-03-29 20:00:00
Class Scenarios [NBAY6630],To-do,2022-03-31 12:59:00,2022-03-31 12:59:00
Maker Day #2 Team Retrospective [TECH5910],To-do,2022-04-01 15:00:00,2022-04-01 15:00:00
Team Weekly Update [TECH5910],To-do,2022-04-12 16:00:00,2022-04-12 16:00:00
Application 3 Needs Analysis [NBAY6630],To-do,2022-04-13 09:30:00,2022-04-13 09:30:00
2022 NBAY 6570 Assignment #2 [NBAY6570],To-do,2022-04-13 13:00:00,2022-04-13 13:00:00
Crit #3 Presentation [TECH5910],To-do,2022-04-14 17:30:00,2022-04-14 17:30:00
Assignment 5: Metrics Analysis [TECH5200],To-do,2022-04-13 20:00:00,2022-04-13 20:00:00
Assignment 6: Press Release [TECH5200],To-do,2022-04-13 20:00:00,2022-04-13 20:00:00
Crit #3 Reflection [TECH5910],To-do,2022-04-15 17:00:00,2022-04-15 17:00:00
NBAY 6570 Lecture,Class,2022-03-23 13:00:00,2022-03-23 14:15:00,1:15:00
NBAY 6570 Lecture,Class,2022-03-30 13:00:00,2022-03-30 14:15:00,1:15:00
NBAY 6570 Lecture,Class,2022-04-06 13:00:00,2022-04-06 14:15:00,1:15:00
NBAY 6570 Lecture,Class,2022-04-13 13:00:00,2022-04-13 14:15:00,1:15:00
NBAY 6570 Lecture,Class,2022-03-23 14:45:00,2022-03-23 16:00:00,1:15:00
NBAY 6570 Lecture,Class,2022-03-30 14:45:00,2022-03-30 16:00:00,1:15:00
NBAY 6570 Lecture,Class,2022-04-06 14:45:00,2022-04-06 16:00:00,1:15:00
NBAY 6570 Lecture,Class,2022-04-13 14:45:00,2022-04-13 16:00:00,1:15:00
NBAY 6630 Lecture,Class,2022-03-23 09:40:00,2022-03-23 10:55:00,1:15:00
NBAY 6630 Lecture,Class,2022-03-30 09:40:00,2022-03-30 10:55:00,1:15:00
NBAY 6630 Lecture,Class,2022-04-06 09:40:00,2022-04-06 10:55:00,1:15:00
NBAY 6630 Lecture,Class,2022-04-13 09:40:00,2022-04-13 10:55:00,1:15:00
NBAY 6630 Lecture,Class,2022-03-23 11:25:00,2022-03-23 12:40:00,1:15:00
NBAY 6630 Lecture,Class,2022-03-30 11:25:00,2022-03-30 12:40:00,1:15:00
NBAY 6630 Lecture,Class,2022-04-06 11:25:00,2022-04-06 12:40:00,1:15:00
NBAY 6630 Lecture,Class,2022-04-13 11:25:00,2022-04-13 12:40:00,1:15:00
NBAY 6600 Lecture,Class,2022-04-11 18:00:00,2022-04-11 20:15:00,2:15:00
NBAY 6750 Lecture,Class,2022-03-29 09:40:00,2022-03-29 10:55:00,1:15:00
NBAY 6750 Lecture,Class,2022-04-05 09:40:00,2022-04-05 10:55:00,1:15:00
NBAY 6750 Lecture,Class,2022-04-12 09:40:00,2022-04-12 10:55:00,1:15:00
NBAY 6750 Lecture,Class,2022-03-29 11:25:00,2022-03-29 12:40:00,1:15:00
NBAY 6750 Lecture,Class,2022-04-05 11:25:00,2022-04-05 12:40:00,1:15:00
NBAY 6750 Lecture,Class,2022-04-12 11:25:00,2022-04-12 12:40:00,1:15:00
TECH 5910 Studio,Class,2022-03-24 16:00:00,2022-03-24 19:15:00,3:15:00
TECH 5910 Studio,Class,2022-03-29 16:00:00,2022-03-29 19:15:00,3:15:00
TECH 5910 Studio,Class,2022-03-31 16:00:00,2022-03-31 19:15:00,3:15:00
TECH 5910 Studio,Class,2022-04-05 16:00:00,2022-04-05 19:15:00,3:15:00
TECH 5910 Studio,Class,2022-04-07 16:00:00,2022-04-07 19:15:00,3:15:00
TECH 5910 Studio,Class,2022-04-12 16:00:00,2022-04-12 19:15:00,3:15:00
TECH 5910 Studio,Class,2022-04-14 16:00:00,2022-04-14 19:15:00,3:15:00
TECH 5910 Studio,Class,2022-03-24 19:16:00,2022-03-24 21:00:00,1:44:00
TECH 5910 Studio,Class,2022-03-25 08:00:00,2022-03-25 19:30:00,11:30:00
TECH 5200 Lecture,Class,2022-04-01 09:00:00,2022-04-01 12:30:00,3:30:00
