Summary,Type,Start,End,Duration
Team Weekly Update [TECH5910],To-do,2022-04-12 16:00:00,2022-04-12 16:00:00
Application 3 Needs Analysis [NBAY6630],To-do,2022-04-13 09:30:00,2022-04-13 09:30:00
2022 NBAY 6570 Assignment #2 [NBAY6570],To-do,2022-04-13 13:00:00,2022-04-13 13:00:00
Crit #3 Presentation [TECH5910],To-do,2022-04-14 17:30:00,2022-04-14 17:30:00
Assignment 5: Metrics Analysis [TECH5200],To-do,2022-04-13 20:00:00,2022-04-13 20:00:00
Assignment 6: Press Release [TECH5200],To-do,2022-04-13 20:00:00,2022-04-13 20:00:00
Crit #3 Reflection [TECH5910],To-do,2022-04-15 17:00:00,2022-04-15 17:00:00
Team Weekly Update [TECH5910],To-do,2022-04-19 16:00:00,2022-04-19 16:00:00
Application 4 Multiple Scenarios [NBAY6630],To-do,2022-04-20 09:30:00,2022-04-20 09:30:00
2022 NBAY 6570 Assignment #3 [NBAY6570],To-do,2022-04-20 13:00:00,2022-04-20 13:00:00
NBAY 6570 Lecture,Class,2022-04-13 13:00:00,2022-04-13 14:15:00,1:15:00
NBAY 6570 Lecture,Class,2022-04-20 13:00:00,2022-04-20 14:15:00,1:15:00
NBAY 6570 Lecture,Class,2022-04-13 14:45:00,2022-04-13 16:00:00,1:15:00
NBAY 6570 Lecture,Class,2022-04-20 14:45:00,2022-04-20 16:00:00,1:15:00
NBAY 6630 Lecture,Class,2022-04-13 09:40:00,2022-04-13 10:55:00,1:15:00
NBAY 6630 Lecture,Class,2022-04-20 09:40:00,2022-04-20 10:55:00,1:15:00
NBAY 6630 Lecture,Class,2022-04-13 11:25:00,2022-04-13 12:40:00,1:15:00
NBAY 6630 Lecture,Class,2022-04-20 11:25:00,2022-04-20 12:40:00,1:15:00
NBAY 6600 Lecture,Class,2022-04-11 18:00:00,2022-04-11 20:15:00,2:15:00
NBAY 6600 Lecture,Class,2022-04-25 18:00:00,2022-04-25 20:15:00,2:15:00
NBAY 6750 Lecture,Class,2022-04-12 09:40:00,2022-04-12 10:55:00,1:15:00
NBAY 6750 Lecture,Class,2022-04-19 09:40:00,2022-04-19 10:55:00,1:15:00
NBAY 6750 Lecture,Class,2022-04-12 11:25:00,2022-04-12 12:40:00,1:15:00
NBAY 6750 Lecture,Class,2022-04-19 11:25:00,2022-04-19 12:40:00,1:15:00
TECH 5910 Studio,Class,2022-04-12 16:00:00,2022-04-12 19:15:00,3:15:00
TECH 5910 Studio,Class,2022-04-14 16:00:00,2022-04-14 19:15:00,3:15:00
TECH 5910 Studio,Class,2022-04-19 16:00:00,2022-04-19 19:15:00,3:15:00
TECH 5910 Studio,Class,2022-04-21 16:00:00,2022-04-21 19:15:00,3:15:00
