Summary,Type,Start,End,Duration
Assignment 2: User Research Plan (user profile moderation guide ethics) [TECH5260],To-do,2022-03-18 17:00:00,2022-03-18 17:00:00
Crit #2 Reflection [TECH5930],To-do,2022-03-18 17:00:00,2022-03-18 17:00:00
Final Project [NBA6030],To-do,2022-03-19 20:00:00,2022-03-19 20:00:00
Team Weekly Update [TECH5930],To-do,2022-03-21 17:00:00,2022-03-21 17:00:00
Module 6: Required Readings [TECH5930],To-do,2022-03-22 16:00:00,2022-03-22 16:00:00
Application 1 Overconfidence in Professionals [NBAY6630],To-do,2022-03-23 09:30:00,2022-03-23 09:30:00
Refine your North Star Metric [TECH5930],To-do,2022-03-23 20:00:00,2022-03-23 20:00:00
NBAY 6030 Lecture,Class,2022-03-21 14:45:00,2022-03-21 16:00:00,1:15:00
NBAY 6030 Lecture,Class,2022-03-21 16:20:00,2022-03-21 17:35:00,1:15:00
NBAY 5550 Lecture,Class,2022-03-23 16:20:00,2022-03-23 17:35:00,1:15:00
NBAY 5550 Lecture,Class,2022-03-23 17:55:00,2022-03-23 19:10:00,1:15:00
TECH 5240 Lecture,Class,2022-03-18 09:00:00,2022-03-18 12:30:00,3:30:00
TECH 5930 Lecture,Class,2022-03-22 16:00:00,2022-03-22 19:15:00,3:15:00
TECH 5930 Lecture,Class,2022-03-24 16:00:00,2022-03-24 19:15:00,3:15:00
TECH 5930 Lecture,Class,2022-03-24 19:16:00,2022-03-24 21:00:00,1:44:00
LAW 6654 Lecture,Class,2022-03-22 09:00:00,2022-03-22 11:00:00,2:00:00
TECH 5260 Lecture,Class,2022-03-22 14:30:00,2022-03-22 15:45:00,1:15:00
