Summary,Type,Start,End,Duration
Lecture 2 Homework (completed before 3/18) [TECH5110],To-do,2022-03-18 09:00:00,2022-03-18 09:00:00
Team Weekly Update [TECH5920],To-do,2022-03-21 17:00:00,2022-03-21 17:00:00
Homework and Deliverables [NBAY5710],To-do,2022-03-20 20:00:00,2022-03-20 20:00:00
HW 7 [INFO5305],To-do,2022-03-21 20:00:00,2022-03-21 20:00:00
Company Advisor Check In/Crit 2 Summary [TECH5920],To-do,2022-03-22 20:00:00,2022-03-22 20:00:00
Refine your North Star Metric [TECH5920],To-do,2022-03-23 20:00:00,2022-03-23 20:00:00
Team Contribution Survey [TECH5920],To-do,2022-03-24 20:00:00,2022-03-24 20:00:00
NBAY 6570 Lecture,Class,2022-03-23 13:00:00,2022-03-23 14:15:00,1:15:00
NBAY 6570 Lecture,Class,2022-03-23 14:45:00,2022-03-23 16:00:00,1:15:00
NBAY 6750 Lecture,Class,2022-03-22 09:40:00,2022-03-22 10:30:00,0:50:00
NBAY 6750 Lecture,Class,2022-03-22 11:25:00,2022-03-22 12:15:00,0:50:00
TECH 5320 Lecture,Class,2022-03-22 13:00:00,2022-03-22 14:15:00,1:15:00
TECH 5320 Lecture,Class,2022-03-24 13:00:00,2022-03-24 14:15:00,1:15:00
INFO 5305 Lecture,Class,2022-03-21 11:25:00,2022-03-21 12:40:00,1:15:00
INFO 5305 Lecture,Class,2022-03-23 11:25:00,2022-03-23 12:40:00,1:15:00
NBAY 5260 Lecture,Class,2022-03-24 09:40:00,2022-03-24 10:55:00,1:15:00
NBAY 5260 Lecture,Class,2022-03-24 11:25:00,2022-03-24 12:40:00,1:15:00
TECH 5920 Studio,Class,2022-03-22 16:00:00,2022-03-22 19:15:00,3:15:00
TECH 5920 Studio,Class,2022-03-24 16:00:00,2022-03-24 19:15:00,3:15:00
TECH 5920 Studio,Class,2022-03-24 19:16:00,2022-03-24 21:00:00,1:44:00
TECH 5920 Studio,Class,2022-03-25 08:00:00,2022-03-25 19:30:00,11:30:00
