Summary,Type,Start,End,Duration
Application 6 Learning from Experience [NBAY6630],To-do,2022-05-04 09:30:00,2022-05-04 09:30:00
Maker Day 3 Presentation [TECH5910],To-do,2022-05-05 20:00:00,2022-05-05 20:00:00
Final Project  [NBAY6570],To-do,2022-05-06 20:00:00,2022-05-06 20:00:00
NBAY 6570 Lecture,Class,2022-05-04 13:00:00,2022-05-04 14:15:00,1:15:00
NBAY 6570 Lecture,Class,2022-05-04 14:45:00,2022-05-04 16:00:00,1:15:00
NBAY 6630 Lecture,Class,2022-05-04 09:40:00,2022-05-04 10:55:00,1:15:00
NBAY 6630 Lecture,Class,2022-05-04 11:25:00,2022-05-04 12:40:00,1:15:00
NBAY 6750 Lecture,Class,2022-05-03 09:40:00,2022-05-03 10:55:00,1:15:00
NBAY 6750 Lecture,Class,2022-05-03 11:25:00,2022-05-03 12:40:00,1:15:00
TECH 5910 Studio,Class,2022-05-03 16:00:00,2022-05-03 19:15:00,3:15:00
TECH 5910 Studio,Class,2022-05-05 16:00:00,2022-05-05 19:15:00,3:15:00
TECH 5910 Studio,Class,2022-05-05 19:16:00,2022-05-05 21:00:00,1:44:00
TECH 5910 Studio,Class,2022-05-06 08:00:00,2022-05-06 19:30:00,11:30:00
Study for TECH 5910 Studio,Block,2022-05-03 08:00:00,2022-05-03 08:45:00,45
Study for TECH 5910 Studio,Block,2022-05-03 12:40:00,2022-05-03 13:25:00,45
Study for NBAY 6570 Lecture,Block,2022-05-03 14:30:00,2022-05-03 15:15:00,45
Study for NBAY 6750 Lecture,Block,2022-05-04 16:55:00,2022-05-04 17:40:00,45
Study for TECH 5910 Studio,Block,2022-05-04 18:45:00,2022-05-04 19:30:00,45
Study for NBAY 6630 Lecture,Block,2022-05-04 19:40:00,2022-05-04 20:25:00,45
Study for NBAY 6630 Lecture,Block,2022-05-04 20:35:00,2022-05-04 21:20:00,45
Study for NBAY 6750 Lecture,Block,2022-05-05 08:00:00,2022-05-05 08:45:00,45
Study for TECH 5910 Studio,Block,2022-05-05 09:50:00,2022-05-05 10:35:00,45
Study for NBAY 6570 Lecture,Block,2022-05-05 11:40:00,2022-05-05 12:25:00,45
Study for NBAY 6570 Lecture,Block,2022-05-05 12:35:00,2022-05-05 13:20:00,45
Study for NBAY 6630 Lecture,Block,2022-05-05 14:25:00,2022-05-05 15:10:00,45
Study for NBAY 6630 Lecture,Block,2022-05-06 19:30:00,2022-05-06 20:15:00,45
Study for NBAY 6570 Lecture,Block,2022-05-06 20:25:00,2022-05-06 21:10:00,45
