Summary,Type,Start,End,Duration
5/2/22 Exercise (Ethics) [INFO5305],To-do,2022-05-02 14:00:00,2022-05-02 14:00:00
Maker Day 3 Presentation [TECH5910],To-do,2022-05-05 20:00:00,2022-05-05 20:00:00
INFO 5305 Lecture,Class,2022-05-02 11:25:00,2022-05-02 12:40:00,1:15:00
INFO 5305 Lecture,Class,2022-05-04 11:25:00,2022-05-04 12:40:00,1:15:00
TECH 5910 Studio,Class,2022-05-03 16:00:00,2022-05-03 19:15:00,3:15:00
TECH 5910 Studio,Class,2022-05-05 16:00:00,2022-05-05 19:15:00,3:15:00
TECH 5910 Studio,Class,2022-05-05 19:16:00,2022-05-05 21:00:00,1:44:00
TECH 5910 Studio,Class,2022-05-06 08:00:00,2022-05-06 19:30:00,11:30:00
ORIE 5751 Lecture,Class,2022-05-03 09:40:00,2022-05-03 10:55:00,1:15:00
ORIE 5751 Lecture,Class,2022-05-05 09:40:00,2022-05-05 10:55:00,1:15:00
INFO 5330 Lecture,Class,2022-05-04 14:45:00,2022-05-04 16:00:00,1:15:00
INFO 5330 Lecture,Class,2022-05-02 19:15:00,2022-05-02 22:15:00,3:00:00
Study for INFO 5305 Lecture,Block,2022-05-02 08:00:00,2022-05-02 08:20:00,20
Study for INFO 5305 Lecture,Block,2022-05-02 12:40:00,2022-05-02 13:00:00,20
Study for TECH 5910 Studio,Block,2022-05-03 08:00:00,2022-05-03 08:20:00,20
Study for TECH 5910 Studio,Block,2022-05-03 10:55:00,2022-05-03 11:15:00,20
Study for ORIE 5751 Lecture,Block,2022-05-03 19:15:00,2022-05-03 19:35:00,20
Study for INFO 5305 Lecture,Block,2022-05-04 08:00:00,2022-05-04 08:20:00,20
Study for TECH 5910 Studio,Block,2022-05-04 12:40:00,2022-05-04 13:00:00,20
Study for TECH 5910 Studio,Block,2022-05-04 16:00:00,2022-05-04 16:20:00,20
Study for INFO 5330 Lecture,Block,2022-05-05 08:00:00,2022-05-05 08:20:00,20
Study for INFO 5305 Lecture,Block,2022-05-05 10:55:00,2022-05-05 11:15:00,20
Study for INFO 5330 Lecture,Block,2022-05-05 21:00:00,2022-05-05 21:20:00,20
Study for ORIE 5751 Lecture,Block,2022-05-06 19:30:00,2022-05-06 19:50:00,20
