Summary,Type,Start,End,Duration
Crit #2 Reflection [TECH5910],To-do,2022-03-18 17:00:00,2022-03-18 17:00:00
Final Exam [NBAY5020],To-do,2022-03-20 20:00:00,2022-03-20 20:00:00
Participation Self-Assessment [NBAY5020],To-do,2022-03-20 20:00:00,2022-03-20 20:00:00
Homework and Deliverables [NBAY5710],To-do,2022-03-20 20:00:00,2022-03-20 20:00:00
Team Weekly Update [TECH5910],To-do,2022-03-22 16:00:00,2022-03-22 16:00:00
Application 1 Overconfidence in Professionals [NBAY6630],To-do,2022-03-23 09:30:00,2022-03-23 09:30:00
Refine your North Star Metric [TECH5910],To-do,2022-03-23 20:00:00,2022-03-23 20:00:00
NBAY 6570 Lecture,Class,2022-03-23 13:00:00,2022-03-23 14:15:00,1:15:00
NBAY 6570 Lecture,Class,2022-03-23 14:45:00,2022-03-23 16:00:00,1:15:00
NBAY 6630 Lecture,Class,2022-03-23 09:40:00,2022-03-23 10:55:00,1:15:00
NBAY 6630 Lecture,Class,2022-03-23 11:25:00,2022-03-23 12:40:00,1:15:00
NBAY 6600 Lecture,Class,2022-03-21 18:00:00,2022-03-21 20:15:00,2:15:00
NBAY 6750 Lecture,Class,2022-03-22 09:40:00,2022-03-22 10:30:00,0:50:00
NBAY 6750 Lecture,Class,2022-03-22 11:25:00,2022-03-22 12:15:00,0:50:00
TECH 5910 Studio,Class,2022-03-22 16:00:00,2022-03-22 19:15:00,3:15:00
TECH 5910 Studio,Class,2022-03-24 16:00:00,2022-03-24 19:15:00,3:15:00
TECH 5910 Studio,Class,2022-03-24 19:16:00,2022-03-24 21:00:00,1:44:00
TECH 5200 Lecture,Class,2022-03-18 09:00:00,2022-03-18 12:30:00,3:30:00
